"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","label","name"
0.472,0.664,6,-8.141,0,0.365,0.0882,1.27e-06,0.182,0.708,85.255,"0WlrMVgbDgSZuZwP2QpwMf","rando","The Front"
0.444,0.722,1,-9.402,0,0.0283,0.00147,0.887,0.184,0.285,109.038,"7qsJNMUrda3ikojO2IPcdK","rando","Print"
0.366,0.278,9,-14.607,0,0.0372,0.579,0.929,0.0726,0.366,147.896,"6K9gVkteaJeNx4vJiRfTNG","rando","Riparian"
0.502,0.801,1,-9.49,1,0.409,0.303,7.27e-06,0.199,0.334,98.247,"7kF3pqmT3wAYq8m8HsGoOB","rando","Mantra"
0.555,0.906,3,-5.196,1,0.0342,0.518,0.619,0.212,0.478,126.982,"0ig9qLenoEShtGuX1lSb47","rando","We Carry On"
0.463,0.803,1,-10.335,1,0.137,0.0112,0.313,0.154,0.546,150.176,"1I8en43wLBZseccvoCs5jU","rando","Mambo"
0.439,0.405,11,-10.383,0,0.107,0.689,0.0898,0.106,0.338,85.851,"2wZYriB7lqjMzCvIwyuLu2","rando","O'Sullivan's March"
0.403,0.556,11,-11.997,0,0.0569,0.00371,0.922,0.204,0.134,160.876,"6dgn4UMOIOXIRYUvYfOx6d","rando","Carbon 7 (161)"
0.459,0.724,2,-8.646,1,0.369,0.0158,0.0142,0.108,0.505,114.225,"3DMmSqXfyUSveO9kX2qI8W","rando","Strapped"
0.447,0.341,6,-8.525,1,0.0254,0.251,0.00089,0.0929,0.279,76.065,"47AWNOz2XaEok0QZwYVynL","rando","Till Death"
0.432,0.63,0,-6.689,1,0.0539,0.0443,0,0.132,0.463,78.83,"3jyEHFZNbdK7mAtaCcKBnc","rando","Shotgun"
0.639,0.746,10,-8.678,0,0.169,0.0213,0.97,0.291,0.348,95,"4i07cKVU8sPjcMXu4Vdoze","rando","Kingsley"
0.619,0.0443,9,-16.539,1,0.42,0.953,0,0.289,0.206,170.376,"3i1gik5SQQXn2PWlB8z6jl","rando","Coração do Mar"
0.422,0.027,8,-18.526,0,0.0848,0.906,0.00613,0.175,0.0989,127.219,"4cfr1WuhlXvWZT8QYJsIJQ","rando","Valve"
0.671,0.439,8,-11.181,1,0.0408,0.784,0.145,0.13,0.7,112.208,"4jsgnWWPKM45CHfju35xqL","rando","Locomotive"
0.704,0.702,11,-5.852,0,0.154,0.596,0.831,0.227,0.256,87.391,"1JT3GzUn4dZUVSuOuGlRlH","rando","Burdock Root"
0.525,0.735,2,-5.58,1,0.0245,0.0256,0.139,0.208,0.631,165.954,"2tYzS0a3NwrVnXHNEQvygC","rando","Judge"
0.674,0.773,3,-5.641,1,0.038,0.14,0.000425,0.0923,0.873,108.552,"4BrsRLsHBvnFZkS8yeTvAE","rando","Cash Cow"
0.611,0.621,9,-6.504,0,0.253,0.216,0,0.287,0.28,127.796,"1eZsaTts7jJowUbSclDQ0u","rando","Jupiter"
0.825,0.458,11,-14.381,1,0.0706,0.373,0.812,0.0958,0.353,118.888,"6mJnTIVXy7XetCFqrdoRBX","rando","Heal Yourself And Move"
0.724,0.482,1,-8.645,0,0.0539,0.739,0.00503,0.104,0.757,82.244,"4xBk5YBUkEFz5gVP74y6pc","rando","Águas de Março"
0.835,0.756,7,-3.789,1,0.382,0.23,0,0.0801,0.87,173,"12d5QFwzh60IIHlsSnAvps","rando","10 Bands"
0.537,0.616,1,-8.841,1,0.0551,0.0242,0.873,0.287,0.265,104.57,"5UH9Fbn4BHzxRvUdY1wtGY","rando","Valentine"
0.607,0.59,6,-11.61,1,0.0392,0.205,0.817,0.105,0.07,120.007,"77XjUZ2RrxTIBw1KQvxSJy","rando","Children"
0.468,0.745,6,-3.671,1,0.115,0.064,0,0.116,0.4,174.017,"3KDmFRW19NHtxIeDnxdFBc","rando","Famous"
0.329,0.932,9,-4.919,1,0.0531,0.0712,0.699,0.293,0.394,144.057,"0eNeturRjWHoi2SxITY0XC","rando","Star Roving"
0.436,0.518,7,-15.926,0,0.051,0.993,0.843,0.116,0.128,124.059,"4iBk2tpaW0Xvms7hRo01cn","rando","Displaced"
0.744,0.375,11,-11.045,1,0.0326,0.855,0.0148,0.116,0.323,99.974,"7iILqDjNajARKlaXXKs1Mb","rando","Fair Doreen"
0.805,0.552,1,-8.201,1,0.0645,0.0352,0.869,0.0776,0.435,120.038,"0LFkevTbX3Ev8y4udFlL7L","rando","Nav"
0.288,0.83,5,-4.777,0,0.0443,5.43e-05,0.359,0.22,0.362,76.142,"1US5sDsfGVTASyDgb4BI30","rando","1 Billion Dogs"
0.77,0.667,6,-7.252,1,0.0337,0.13,0.002,0.109,0.604,98.987,"3720k9XGitS6jDcBi1muK7","rando","Go Back"
0.237,0.42,9,-9.415,1,0.0358,0.883,0.717,0.0974,0.132,117.664,"5URK8koPHdPbEckaKXARdr","rando","To See More Light"
0.499,0.23,4,-13.442,0,0.0283,0.718,1.26e-05,0.108,0.27,180.068,"6HvFUFigiyXGBDvNRvSV8C","rando","Sweet Dreams"
0.528,0.524,6,-17.825,0,0.122,0.311,0.874,0.09,0.268,121.057,"2dLtWmZBlUnXNw0D17OdSB","rando","Moritz Von Oswald The One version of “Welt Am Draht”"
0.626,0.967,6,-2.907,0,0.039,0.168,5.06e-05,0.192,0.53,132.002,"67F4DCkqJncqUajy0ixDtb","rando","New York Kiss"
0.593,0.365,9,-6.407,1,0.0252,0.511,0,0.139,0.159,98.345,"1bvERTuePaoVjQ3NpJq9aH","rando","June Hymn"
0.384,0.806,2,-7.38,1,0.0281,1.23e-05,0.717,0.164,0.63,126.858,"4KABhih32PEgrio3aWl8e4","rando","Canned Tomatoes (Whole)"
0.411,0.696,9,-6.459,1,0.0766,0.522,0.116,0.0883,0.512,162.872,"0yjGTOqaksPO13Utt3NKnP","rando","Assouf"
0.489,0.493,1,-9.282,1,0.0359,0.000278,0.0199,0.154,0.045,132.498,"3GOgR7RdQLsj3FzCxTxmzO","rando","A Power"
0.501,0.304,2,-9.183,1,0.0282,0.235,0.691,0.0877,0.066,108.263,"5prMIkBYz7IiYid1DGS2Tz","rando","Our Kitten Sees Ghosts"
0.741,0.873,5,-8.184,0,0.0751,0.0271,0.961,0.0641,0.126,112.986,"2S3GEr4xzn9o3qMgOtVO4r","rando","Illumination"
0.771,0.441,7,-9.79,1,0.0333,0.471,0.139,0.103,0.305,137.959,"7b0IHVIYf3rnl08ccuvdWN","rando","Think"
0.649,0.821,11,-2.412,0,0.054,0.000627,0.524,0.377,0.549,159.9,"6Cy9HzfaoyFFGMZkEDPx67","rando","Walters Call"
0.642,0.584,5,-9.216,1,0.0274,0.173,1e-06,0.0719,0.242,130.024,"4XHTLUkPBENlta2kytI3aD","rando","Holiday (What Do You Want?) with Rosanne Cash"
0.563,0.898,1,-8.951,0,0.527,0.0224,0.123,0.0647,0.491,152.683,"0eNNyWDCr1V103QBVQcZqy","rando","BuZilla"
0.739,0.464,3,-8.154,0,0.0425,0.327,0.837,0.111,0.418,119.951,"5Pvvl0iQrmobcSxpCP7xhx","rando","Do Right"
0.277,0.227,8,-17.895,1,0.0342,0.0119,0.000403,0.157,0.0339,81.325,"3r7VEPuCVZfepG28xuvhUr","rando","Fill 3"
0.284,0.469,5,-14.795,1,0.0425,0.153,0.958,0.0916,0.0305,161.049,"3xYzZRRRmxQEQqX7A9m6KB","rando","Mobilia"
0.541,0.442,1,-13.79,0,0.0822,0.0726,0.000212,0.273,0.464,93.926,"46FVX9vx3D8STTBEur0sS6","rando","SNS"
0.769,0.768,4,-7.542,0,0.0366,0.0139,0.0215,0.0469,0.825,103.997,"0oLtiMnTizg2Lw5f74z9Gm","rando","Leila - Poolside Remix"
0.344,0.598,1,-8.351,0,0.0497,0.00168,1.86e-05,0.128,0.411,106.483,"1fCdWBo2sNXOeIS23xl6u6","rando","If I Stay a Minute"
0.422,0.371,0,-17.12,1,0.087,0.803,0.138,0.36,0.707,103.174,"0czE98V6Vm2twAZNSgXoME","rando","CINEMA 2"
0.317,0.381,7,-10.444,0,0.0861,0.0664,3.67e-06,0.574,0.287,74.886,"5EEknkfrGT5WnOKkM4jnQ1","rando","Crumbled Luna"
0.43,0.0283,7,-26.437,1,0.0422,0.862,0.0119,0.7,0.5,124.103,"4DFLSii14H0sNVVbBf0pDv","rando","Nancy Spain"
0.518,0.555,7,-12.487,0,0.0754,0.972,0.859,0.116,0.244,74.688,"1EGSSAROjQ1Ky8GTC5Xxee","rando","Arklite"
0.457,0.275,11,-12.553,1,0.0468,0.741,0,0.115,0.18,120.044,"57K5RyWj4jOlc07wRz6axh","rando","Plastic (Mid-City Island Version)"
0.368,0.638,9,-9.24,1,0.0344,0.139,1e-05,0.102,0.164,169.685,"1cr47zeK8TClmVKcLO9hzn","rando","Noble Nobles"
0.344,0.675,7,-8.707,1,0.142,0.501,0.704,0.152,0.174,158.717,"0W6xWjWU3hBKfO3BBD55cI","rando","Stay Still Awake (Up Before Ayybody)"
0.653,0.526,2,-8.504,1,0.0351,0.0148,0.276,0.174,0.395,85.019,"2MJBTjDGNum1zpODeH3pum","rando","HelGa."
0.5,0.954,5,-4.514,1,0.115,0.00409,0.0578,0.0947,0.466,132.04,"0v60rM2HLSatgUyVZDrLwm","rando","'Tis a Pity She Was a Whore"
